"ID";"Geslacht";"Leeftijd";"Onderwijssoort";"Migratieachtergrond";"RegioS";"Perioden";"Gediplomeerden_1"
"218553839";"4000   ";"12400";"A043055";"1012600";"GM0788";"2019SJ00";"       2"
"218553859";"4000   ";"12400";"A043055";"1012600";"GM0392";"2019SJ00";"      22"
"218553879";"4000   ";"12400";"A043055";"1012600";"GM0393";"2019SJ00";""
"218553899";"4000   ";"12400";"A043055";"1012600";"GM0394";"2019SJ00";"       8"
"218553919";"4000   ";"12400";"A043055";"1012600";"GM0914";"2019SJ00";""
"218553939";"4000   ";"12400";"A043055";"1012600";"GM1655";"2019SJ00";"       1"
"218553959";"4000   ";"12400";"A043055";"1012600";"GM0159";"2019SJ00";""
"218553979";"4000   ";"12400";"A043055";"1012600";"GM0160";"2019SJ00";"       3"
"218553999";"4000   ";"12400";"A043055";"1012600";"GM0243";"2019SJ00";"       2"
"218554019";"4000   ";"12400";"A043055";"1012600";"GM0523";"2019SJ00";"       1"
"218554039";"4000   ";"12400";"A043055";"1012600";"GM0017";"2019SJ00";""
"218554059";"4000   ";"12400";"A043055";"1012600";"GM0395";"2019SJ00";""
"218554079";"4000   ";"12400";"A043055";"1012600";"GM0072";"2019SJ00";"       0"
"218554099";"4000   ";"12400";"A043055";"1012600";"GM0318";"2019SJ00";""
"218554119";"4000   ";"12400";"A043055";"1012600";"GM0161";"2019SJ00";""
"218554139";"4000   ";"12400";"A043055";"1012600";"GM0244";"2019SJ00";"       0"
"218554159";"4000   ";"12400";"A043055";"1012600";"GM1937";"2019SJ00";""
"218554179";"4000   ";"12400";"A043055";"1012600";"GM0396";"2019SJ00";"       4"
